Date,Small size,Large,type,year,region
22/3/2015,2141.83,34313.56,conventional,2015,Albany
15/3/2015,2128.26,30447.17,conventional,2015,Albany
8/3/2015,795.68,30370.64,conventional,2015,Albany
1/3/2015,629.46,45633.34,conventional,2015,Albany
22/2/2015,1088.38,35056.13,conventional,2015,Albany
15/2/2015,986.66,30045.51,conventional,2015,Albany
8/2/2015,1357.37,39111.81,conventional,2015,Albany
1/2/2015,1353.9,60017.2,conventional,2015,Albany
25/1/2015,941.38,33196.16,conventional,2015,Albany
18/1/2015,914.14,31540.32,conventional,2015,Albany
11/1/2015,1002.85,31640.34,conventional,2015,Albany
4/1/2015,2819.5,28287.42,conventional,2015,Albany
27/12/2015,292097.36,27350.92,conventional,2015,Atlanta
20/12/2015,251774.15,20702.45,conventional,2015,Atlanta
13/12/2015,324932.28,31019.08,conventional,2015,Atlanta
6/12/2015,283024.01,23740.85,conventional,2015,Atlanta
29/11/2015,250288.65,28889.63,conventional,2015,Atlanta
22/11/2015,269799.03,29732.3,conventional,2015,Atlanta
15/11/2015,263915.78,28442.45,conventional,2015,Atlanta
8/11/2015,250441.38,34483.33,conventional,2015,Atlanta
1/11/2015,290457.5,62980.07,conventional,2015,Atlanta
25/10/2015,236814.29,64607.97,conventional,2015,Atlanta
18/10/2015,228710.28,59731.79,conventional,2015,Atlanta
11/10/2015,255933.32,91047.32,conventional,2015,Atlanta
4/10/2015,265797.09,92780.33,conventional,2015,Atlanta
27/9/2015,262107.44,61870.63,conventional,2015,Atlanta
20/9/2015,346118.51,82762.72,conventional,2015,Atlanta
13/9/2015,278048.26,62485.97,conventional,2015,Atlanta
6/9/2015,303113.24,73675.85,conventional,2015,Atlanta
30/8/2015,275818.27,44839.12,conventional,2015,Atlanta
23/8/2015,274462.42,46223.69,conventional,2015,Atlanta
16/8/2015,362579.51,41992.44,conventional,2015,Atlanta
9/8/2015,385027.71,47040.07,conventional,2015,Atlanta
2/8/2015,306587.86,41906.78,conventional,2015,Atlanta
26/7/2015,335372.02,44087.07,conventional,2015,Atlanta
19/7/2015,446100.17,47838.42,conventional,2015,Atlanta
12/7/2015,310080.33,37953.24,conventional,2015,Atlanta
5/7/2015,436377.91,54675.38,conventional,2015,Atlanta
28/6/2015,331353.43,37698.53,conventional,2015,Atlanta
21/6/2015,449311.47,30231.78,conventional,2015,Atlanta
14/6/2015,386370.5,17701.12,conventional,2015,Atlanta
7/6/2015,455565.92,22414.17,conventional,2015,Atlanta
31/5/2015,382900.99,19543.18,conventional,2015,Atlanta
24/5/2015,538126.94,27284.43,conventional,2015,Atlanta
17/5/2015,386400.89,18618.84,conventional,2015,Atlanta
10/5/2015,413452.96,18860.63,conventional,2015,Atlanta
3/5/2015,538403.48,28568.26,conventional,2015,Atlanta
26/4/2015,387676.81,18366.33,conventional,2015,Atlanta
19/4/2015,368709.65,18040.85,conventional,2015,Atlanta
12/4/2015,377578.48,22419.95,conventional,2015,Atlanta
5/4/2015,318473.47,19254.39,conventional,2015,Atlanta
29/3/2015,305028.89,16651.99,conventional,2015,Atlanta
22/3/2015,393591.03,23419.6,conventional,2015,Atlanta
15/3/2015,336172.08,16508.21,conventional,2015,Atlanta
8/3/2015,361559.22,15788.71,conventional,2015,Atlanta
1/3/2015,441544,21183.7,conventional,2015,Atlanta
22/2/2015,369316.29,18324.76,conventional,2015,Atlanta
15/2/2015,364446.77,17420.41,conventional,2015,Atlanta
8/2/2015,377256.38,17162.5,conventional,2015,Atlanta
1/2/2015,553198.56,31583.38,conventional,2015,Atlanta
25/1/2015,393408.17,18718.27,conventional,2015,Atlanta
18/1/2015,372236.92,18701.9,conventional,2015,Atlanta
11/1/2015,330411.24,18958.22,conventional,2015,Atlanta
4/1/2015,364302.39,23821.16,conventional,2015,Atlanta
27/12/2015,40450.49,394104.02,conventional,2015,BaltimoreWashington
20/12/2015,44741.37,434590.82,conventional,2015,BaltimoreWashington
13/12/2015,44400.26,399851.59,conventional,2015,BaltimoreWashington
6/12/2015,51129.29,453586.5,conventional,2015,BaltimoreWashington
29/11/2015,41028.15,379156.09,conventional,2015,BaltimoreWashington
22/11/2015,40867.8,386137.78,conventional,2015,BaltimoreWashington
15/11/2015,47109.75,503470.08,conventional,2015,BaltimoreWashington
8/11/2015,58579.27,576512.71,conventional,2015,BaltimoreWashington
1/11/2015,51860.07,473819.14,conventional,2015,BaltimoreWashington
25/10/2015,53766.25,397911.35,conventional,2015,BaltimoreWashington
18/10/2015,59121.55,745385.26,conventional,2015,BaltimoreWashington
11/10/2015,34707.02,392008.6,conventional,2015,BaltimoreWashington
4/10/2015,35342.34,407609.95,conventional,2015,BaltimoreWashington
27/9/2015,34309.05,451061.03,conventional,2015,BaltimoreWashington
20/9/2015,39619.87,450283.01,conventional,2015,BaltimoreWashington
13/9/2015,55699.25,675524.33,conventional,2015,BaltimoreWashington
6/9/2015,63903.73,522568.44,conventional,2015,BaltimoreWashington
30/8/2015,48455.25,458207.46,conventional,2015,BaltimoreWashington
23/8/2015,59242.02,499100.39,conventional,2015,BaltimoreWashington
16/8/2015,86492.03,597184.73,conventional,2015,BaltimoreWashington
9/8/2015,56362.75,557363.94,conventional,2015,BaltimoreWashington
2/8/2015,53957.63,535167.1,conventional,2015,BaltimoreWashington
26/7/2015,52746.41,496508.65,conventional,2015,BaltimoreWashington
19/7/2015,52954.94,496206.47,conventional,2015,BaltimoreWashington
12/7/2015,58827.99,547537.41,conventional,2015,BaltimoreWashington
5/7/2015,66504.67,567640.7,conventional,2015,BaltimoreWashington
28/6/2015,65051.95,534535.21,conventional,2015,BaltimoreWashington
21/6/2015,58398.76,527866.5,conventional,2015,BaltimoreWashington
14/6/2015,64005.15,593499.63,conventional,2015,BaltimoreWashington
7/6/2015,62585.45,462951.05,conventional,2015,BaltimoreWashington
31/5/2015,67744.84,617813.87,conventional,2015,BaltimoreWashington
24/5/2015,63610.12,560740.03,conventional,2015,BaltimoreWashington
17/5/2015,63515.06,455166.65,conventional,2015,BaltimoreWashington
10/5/2015,79192.07,507104.15,conventional,2015,BaltimoreWashington
3/5/2015,73038.46,536709.99,conventional,2015,BaltimoreWashington
26/4/2015,58013.85,431532.87,conventional,2015,BaltimoreWashington
19/4/2015,67486.78,427623.27,conventional,2015,BaltimoreWashington
12/4/2015,70796.72,523170.13,conventional,2015,BaltimoreWashington
5/4/2015,53579.17,401279.47,conventional,2015,BaltimoreWashington
29/3/2015,58098.15,398050.87,conventional,2015,BaltimoreWashington
22/3/2015,65158.96,524971.24,conventional,2015,BaltimoreWashington
15/3/2015,53400.14,395837.01,conventional,2015,BaltimoreWashington
8/3/2015,55284.8,367670.93,conventional,2015,BaltimoreWashington
1/3/2015,59039.85,498872.67,conventional,2015,BaltimoreWashington
22/2/2015,50501.07,445970.56,conventional,2015,BaltimoreWashington
15/2/2015,49751.74,361677.37,conventional,2015,BaltimoreWashington
8/2/2015,71703.52,554857.41,conventional,2015,BaltimoreWashington
1/2/2015,93166.54,666010.38,conventional,2015,BaltimoreWashington
25/1/2015,49696.14,386398.73,conventional,2015,BaltimoreWashington
18/1/2015,49947.16,393359.6,conventional,2015,BaltimoreWashington
11/1/2015,51460.64,420837.82,conventional,2015,BaltimoreWashington
4/1/2015,53987.31,552906.04,conventional,2015,BaltimoreWashington
27/12/2015,30482.25,2971.94,conventional,2015,Boise
20/12/2015,25628.22,2546.09,conventional,2015,Boise
13/12/2015,27148.61,2985.73,conventional,2015,Boise
6/12/2015,35590.98,12526.5,conventional,2015,Boise
29/11/2015,24189.98,2789.67,conventional,2015,Boise
22/11/2015,25408.86,3255.97,conventional,2015,Boise
15/11/2015,24424.72,12085.72,conventional,2015,Boise
8/11/2015,31910.27,4651.88,conventional,2015,Boise
1/11/2015,30434.99,4359.52,conventional,2015,Boise
25/10/2015,29521.58,10089.82,conventional,2015,Boise
18/10/2015,29614.23,9069.38,conventional,2015,Boise
11/10/2015,26114.19,33415.88,conventional,2015,Boise
4/10/2015,35154.43,10821.85,conventional,2015,Boise
27/9/2015,47007.35,5754.04,conventional,2015,Boise
20/9/2015,34826.9,21592.13,conventional,2015,Boise
13/9/2015,45738.83,4393.9,conventional,2015,Boise
6/9/2015,44134.65,5402.17,conventional,2015,Boise
30/8/2015,40926.77,5809.92,conventional,2015,Boise
23/8/2015,44059.22,14861.33,conventional,2015,Boise
16/8/2015,46189.28,5258.21,conventional,2015,Boise
9/8/2015,44739.54,5034,conventional,2015,Boise
2/8/2015,51151.27,5140.89,conventional,2015,Boise
26/7/2015,50978.38,4856.27,conventional,2015,Boise
19/7/2015,45921.6,5300.3,conventional,2015,Boise
12/7/2015,51828.75,5802.65,conventional,2015,Boise
5/7/2015,61949.73,8022.13,conventional,2015,Boise
28/6/2015,59111.33,6573.26,conventional,2015,Boise
21/6/2015,52790.21,15444.74,conventional,2015,Boise
14/6/2015,58791.25,17880.43,conventional,2015,Boise
7/6/2015,61245.49,7237.55,conventional,2015,Boise
31/5/2015,57373.57,7421.36,conventional,2015,Boise
24/5/2015,54825.95,14839.33,conventional,2015,Boise
17/5/2015,61319.66,7393.99,conventional,2015,Boise
10/5/2015,62505.3,15896.54,conventional,2015,Boise
3/5/2015,66880.12,7942.34,conventional,2015,Boise
26/4/2015,69544.59,7985.48,conventional,2015,Boise
19/4/2015,56843.62,21630.9,conventional,2015,Boise
12/4/2015,44469.15,8506.36,conventional,2015,Boise
5/4/2015,57339.81,9060.49,conventional,2015,Boise
29/3/2015,59532.94,7119.52,conventional,2015,Boise
22/3/2015,44227.33,6589.77,conventional,2015,Boise
15/3/2015,51472.29,7018.29,conventional,2015,Boise
8/3/2015,45879.84,7206.22,conventional,2015,Boise
1/3/2015,40578,23738.56,conventional,2015,Boise
22/2/2015,50872,16374.74,conventional,2015,Boise
15/2/2015,41547.87,7840.31,conventional,2015,Boise
8/2/2015,54229.34,9647.24,conventional,2015,Boise
1/2/2015,67496.3,36532.33,conventional,2015,Boise
25/1/2015,51922.06,7555.95,conventional,2015,Boise
18/1/2015,50354.95,6342.37,conventional,2015,Boise
11/1/2015,38112.34,10997.54,conventional,2015,Boise
4/1/2015,44562.12,24964.23,conventional,2015,Boise
27/12/2015,3886.27,346964.7,conventional,2015,Boston
20/12/2015,4912.37,390100.99,conventional,2015,Boston
13/12/2015,4641.02,455362.38,conventional,2015,Boston
6/12/2015,5126.32,407520.22,conventional,2015,Boston
29/11/2015,3609.25,272719.08,conventional,2015,Boston
22/11/2015,4457.62,383420.46,conventional,2015,Boston
15/11/2015,5310.32,420936.8,conventional,2015,Boston
8/11/2015,5304.09,542880.92,conventional,2015,Boston
1/11/2015,4886.14,449532.49,conventional,2015,Boston
25/10/2015,4005.39,430725.78,conventional,2015,Boston
18/10/2015,6409.86,627503.98,conventional,2015,Boston
11/10/2015,5145.86,378295.9,conventional,2015,Boston
4/10/2015,5804.31,427358.64,conventional,2015,Boston
27/9/2015,5210.84,463079.81,conventional,2015,Boston
20/9/2015,4376.74,398673.48,conventional,2015,Boston
13/9/2015,5422.29,560792.23,conventional,2015,Boston
6/9/2015,4237.44,477867.83,conventional,2015,Boston
30/8/2015,4177.03,438502.9,conventional,2015,Boston
23/8/2015,4744.11,488292.1,conventional,2015,Boston
16/8/2015,4460.85,464476.33,conventional,2015,Boston
9/8/2015,4173.23,590998.11,conventional,2015,Boston
2/8/2015,4442.2,468591.76,conventional,2015,Boston
26/7/2015,4299.27,393281.62,conventional,2015,Boston
19/7/2015,4720.08,477629.8,conventional,2015,Boston
12/7/2015,5332.07,471639.53,conventional,2015,Boston
5/7/2015,4743.46,418251.03,conventional,2015,Boston
28/6/2015,4688.28,403230.6,conventional,2015,Boston
21/6/2015,3582.45,404908.53,conventional,2015,Boston
14/6/2015,5104.19,521254.77,conventional,2015,Boston
7/6/2015,4034.11,421007.42,conventional,2015,Boston
31/5/2015,4128.35,418105.36,conventional,2015,Boston
24/5/2015,4601.66,490485.76,conventional,2015,Boston
17/5/2015,4285.68,380514.08,conventional,2015,Boston
10/5/2015,4601.5,476827.52,conventional,2015,Boston
3/5/2015,3828.64,429586.28,conventional,2015,Boston
26/4/2015,3915.3,352464.49,conventional,2015,Boston
19/4/2015,4013.71,384880.49,conventional,2015,Boston
12/4/2015,3575.89,294164.23,conventional,2015,Boston
5/4/2015,3657.54,330424.74,conventional,2015,Boston
29/3/2015,3619.31,339299.3,conventional,2015,Boston
22/3/2015,5956.18,344396.92,conventional,2015,Boston
15/3/2015,6085.75,308996.7,conventional,2015,Boston
8/3/2015,3425.53,290512.65,conventional,2015,Boston
1/3/2015,4106.42,383573.77,conventional,2015,Boston
22/2/2015,3232.68,251341.3,conventional,2015,Boston
15/2/2015,3794.97,281106.45,conventional,2015,Boston
8/2/2015,7653.19,495731.7,conventional,2015,Boston
1/2/2015,6082.88,373452.06,conventional,2015,Boston
25/1/2015,4730.77,288094.65,conventional,2015,Boston
18/1/2015,4383.76,287778.52,conventional,2015,Boston
11/1/2015,5548.11,320577.36,conventional,2015,Boston
4/1/2015,7193.87,396752.18,conventional,2015,Boston
27/12/2015,1367.81,39542.83,conventional,2015,BuffaloRochester
20/12/2015,1164.92,38430.71,conventional,2015,BuffaloRochester
13/12/2015,1421.12,40783.22,conventional,2015,BuffaloRochester
6/12/2015,1737.71,58197.34,conventional,2015,BuffaloRochester
29/11/2015,1514.69,35682.71,conventional,2015,BuffaloRochester
22/11/2015,1711.77,38780.66,conventional,2015,BuffaloRochester
15/11/2015,1803.78,41457.12,conventional,2015,BuffaloRochester
8/11/2015,1288.83,49507.25,conventional,2015,BuffaloRochester
1/11/2015,2181.17,61874.92,conventional,2015,BuffaloRochester
25/10/2015,1545.57,36645.91,conventional,2015,BuffaloRochester
18/10/2015,1536.35,40701.65,conventional,2015,BuffaloRochester
11/10/2015,2170.49,50862,conventional,2015,BuffaloRochester
4/10/2015,3020.03,38353.35,conventional,2015,BuffaloRochester
27/9/2015,1908.16,60292.79,conventional,2015,BuffaloRochester
20/9/2015,1445.25,39831.66,conventional,2015,BuffaloRochester
13/9/2015,1572.71,48468.73,conventional,2015,BuffaloRochester
6/9/2015,1471.69,49388.48,conventional,2015,BuffaloRochester
30/8/2015,1406.11,61600.62,conventional,2015,BuffaloRochester
23/8/2015,1287.09,43655.31,conventional,2015,BuffaloRochester
16/8/2015,1230.78,45937.58,conventional,2015,BuffaloRochester
9/8/2015,1139.74,56289.28,conventional,2015,BuffaloRochester
2/8/2015,1447.81,44620.7,conventional,2015,BuffaloRochester
26/7/2015,1679.28,45615.48,conventional,2015,BuffaloRochester
19/7/2015,1165.75,54492.85,conventional,2015,BuffaloRochester
12/7/2015,1119.38,47294.67,conventional,2015,BuffaloRochester
5/7/2015,1503.1,56925.46,conventional,2015,BuffaloRochester
28/6/2015,1235.69,51801.73,conventional,2015,BuffaloRochester
21/6/2015,1254.83,47845.57,conventional,2015,BuffaloRochester
14/6/2015,1183.9,48286.51,conventional,2015,BuffaloRochester
7/6/2015,779.02,57999.61,conventional,2015,BuffaloRochester
31/5/2015,1039.49,54249.06,conventional,2015,BuffaloRochester
24/5/2015,1033.76,55018.95,conventional,2015,BuffaloRochester
17/5/2015,932.52,61668.49,conventional,2015,BuffaloRochester
10/5/2015,1321.83,73754.3,conventional,2015,BuffaloRochester
3/5/2015,946.38,50266.22,conventional,2015,BuffaloRochester
26/4/2015,1117.56,49556.91,conventional,2015,BuffaloRochester
19/4/2015,1021.72,52954.82,conventional,2015,BuffaloRochester
12/4/2015,884.02,45443.61,conventional,2015,BuffaloRochester
5/4/2015,969.27,51023.86,conventional,2015,BuffaloRochester
29/3/2015,1352.63,48430.03,conventional,2015,BuffaloRochester
22/3/2015,3090.55,45420.06,conventional,2015,BuffaloRochester
15/3/2015,3500.48,45688.61,conventional,2015,BuffaloRochester
8/3/2015,1072.46,61973.56,conventional,2015,BuffaloRochester
1/3/2015,1032.92,41685.04,conventional,2015,BuffaloRochester
22/2/2015,1709.23,45393.96,conventional,2015,BuffaloRochester
15/2/2015,1520.76,43271.55,conventional,2015,BuffaloRochester
8/2/2015,1822.41,66261.92,conventional,2015,BuffaloRochester
1/2/2015,2117.73,64770.55,conventional,2015,BuffaloRochester
25/1/2015,1321.19,54007.48,conventional,2015,BuffaloRochester
18/1/2015,1625.26,61859.85,conventional,2015,BuffaloRochester
11/1/2015,1642.25,50985.2,conventional,2015,BuffaloRochester
4/1/2015,3267.97,55693.04,conventional,2015,BuffaloRochester
27/12/2015,1833946.59,1760956.02,conventional,2015,California
20/12/2015,1676601.43,1543280.76,conventional,2015,California
13/12/2015,1806690.08,1627240.76,conventional,2015,California
6/12/2015,1943065.5,2100246.17,conventional,2015,California
29/11/2015,1461699.38,1810202.7,conventional,2015,California
22/11/2015,1602215.57,1917124.52,conventional,2015,California
15/11/2015,2243013.44,2164098.99,conventional,2015,California
8/11/2015,2317858.81,1758964.54,conventional,2015,California
1/11/2015,2369824.75,2596785.28,conventional,2015,California
25/10/2015,1733791.31,2025016.15,conventional,2015,California
18/10/2015,1847991.31,2286235.79,conventional,2015,California
11/10/2015,1757211.58,2530023.18,conventional,2015,California
4/10/2015,1461112.39,2788317.94,conventional,2015,California
27/9/2015,1860050.39,2635028.38,conventional,2015,California
20/9/2015,1702965.49,2230693.51,conventional,2015,California
13/9/2015,1863270.81,2388023.33,conventional,2015,California
6/9/2015,2859325.91,2077193.6,conventional,2015,California
30/8/2015,3104607.82,1660274.32,conventional,2015,California
23/8/2015,2626977.95,1798911.33,conventional,2015,California
16/8/2015,3098708.55,1731349,conventional,2015,California
9/8/2015,3260775.73,2196704.97,conventional,2015,California
2/8/2015,2940145.82,1737845.94,conventional,2015,California
26/7/2015,3112921.78,1636659.9,conventional,2015,California
19/7/2015,2805887.74,1629871.75,conventional,2015,California
12/7/2015,2747299.98,1923893.11,conventional,2015,California
5/7/2015,3581149.88,2120303.06,conventional,2015,California
28/6/2015,3163839.74,1610910.07,conventional,2015,California
21/6/2015,3328631.93,1743509.25,conventional,2015,California
14/6/2015,4075881.34,1771908.98,conventional,2015,California
7/6/2015,3614314.44,1860329.3,conventional,2015,California
31/5/2015,3620440.35,1826496.62,conventional,2015,California
24/5/2015,2978396.74,1873205.91,conventional,2015,California
17/5/2015,2923673.93,1649623.66,conventional,2015,California
10/5/2015,4085858.78,1735132.32,conventional,2015,California
3/5/2015,4340117.03,3403145.1,conventional,2015,California
26/4/2015,2421009.67,1729486.77,conventional,2015,California
19/4/2015,3024466.22,2070974.14,conventional,2015,California
12/4/2015,2848184,1988818.23,conventional,2015,California
5/4/2015,2754464.87,1886168.89,conventional,2015,California
29/3/2015,2609532.63,1869271.31,conventional,2015,California
22/3/2015,2348618.25,2314393.94,conventional,2015,California
15/3/2015,2962520.41,1737353.95,conventional,2015,California
8/3/2015,3484274.6,1649936.05,conventional,2015,California
1/3/2015,3516551.29,2460932.41,conventional,2015,California
22/2/2015,3210177.22,1933699.49,conventional,2015,California
15/2/2015,3315163.6,1620462.13,conventional,2015,California
8/2/2015,2908845.38,2200393.89,conventional,2015,California
1/2/2015,4794142.14,3460743.8,conventional,2015,California
25/1/2015,2380955.61,1827783.28,conventional,2015,California
18/1/2015,2780859.66,2108450.36,conventional,2015,California
11/1/2015,2889591.29,2485720.1,conventional,2015,California
4/1/2015,2843648.26,2267755.26,conventional,2015,California
27/12/2015,33070.27,62956.24,conventional,2015,Charlotte
20/12/2015,29500.04,55520.58,conventional,2015,Charlotte
13/12/2015,31727.46,62544.19,conventional,2015,Charlotte
6/12/2015,34117.36,63074.74,conventional,2015,Charlotte
29/11/2015,31911.11,53470.54,conventional,2015,Charlotte
22/11/2015,30028.69,53644.97,conventional,2015,Charlotte
15/11/2015,28543.88,80244.55,conventional,2015,Charlotte
8/11/2015,30860.74,54456.01,conventional,2015,Charlotte
1/11/2015,33371.6,47079.68,conventional,2015,Charlotte
25/10/2015,23093.86,38356.83,conventional,2015,Charlotte
18/10/2015,22805.02,54518.85,conventional,2015,Charlotte
11/10/2015,22941.59,45669.33,conventional,2015,Charlotte
4/10/2015,23648.94,44671.1,conventional,2015,Charlotte
27/9/2015,24397.92,54210.03,conventional,2015,Charlotte
20/9/2015,25922.66,46906.06,conventional,2015,Charlotte
13/9/2015,30122.92,41616.87,conventional,2015,Charlotte
6/9/2015,35126.74,62187.49,conventional,2015,Charlotte
30/8/2015,33511.97,41700.97,conventional,2015,Charlotte
23/8/2015,32280.63,50475.57,conventional,2015,Charlotte
16/8/2015,32128.6,42068.1,conventional,2015,Charlotte
9/8/2015,29915.8,43782.95,conventional,2015,Charlotte
2/8/2015,30200.32,48686.77,conventional,2015,Charlotte
26/7/2015,30901.1,39607.94,conventional,2015,Charlotte
19/7/2015,33382.11,49072.16,conventional,2015,Charlotte
12/7/2015,23580.7,56317.45,conventional,2015,Charlotte
5/7/2015,30803.29,73470.29,conventional,2015,Charlotte
28/6/2015,23693.74,58162.31,conventional,2015,Charlotte
21/6/2015,30951.17,58913.49,conventional,2015,Charlotte
14/6/2015,31247.67,64828.77,conventional,2015,Charlotte
7/6/2015,43524.21,45226.73,conventional,2015,Charlotte
31/5/2015,45688.14,43259.91,conventional,2015,Charlotte
24/5/2015,43628.72,59207.62,conventional,2015,Charlotte
17/5/2015,44340.34,46424.29,conventional,2015,Charlotte
10/5/2015,47626.37,42863.8,conventional,2015,Charlotte
3/5/2015,50203.31,69446.61,conventional,2015,Charlotte
26/4/2015,39481.13,44796.9,conventional,2015,Charlotte
19/4/2015,38330.46,41954.32,conventional,2015,Charlotte
12/4/2015,48793.38,50390.01,conventional,2015,Charlotte
5/4/2015,43112.4,40448.49,conventional,2015,Charlotte
29/3/2015,34498.06,50741.07,conventional,2015,Charlotte
22/3/2015,41638.46,44726.81,conventional,2015,Charlotte
15/3/2015,39138.41,48595.62,conventional,2015,Charlotte
8/3/2015,29980.15,39244.64,conventional,2015,Charlotte
1/3/2015,45465.24,40006.65,conventional,2015,Charlotte
22/2/2015,44679.57,48498.63,conventional,2015,Charlotte
15/2/2015,28227.83,38591.73,conventional,2015,Charlotte
8/2/2015,31509.41,35566.91,conventional,2015,Charlotte
1/2/2015,52915.5,71209.89,conventional,2015,Charlotte
25/1/2015,37383.37,44000.75,conventional,2015,Charlotte
18/1/2015,26462.87,40475.81,conventional,2015,Charlotte
11/1/2015,31586.35,38118.77,conventional,2015,Charlotte
4/1/2015,29419.03,47220.75,conventional,2015,Charlotte
27/12/2015,42799,445218.79,conventional,2015,Chicago
20/12/2015,35724.99,464574.15,conventional,2015,Chicago
13/12/2015,40380.09,451470.42,conventional,2015,Chicago
6/12/2015,53173.18,455048.11,conventional,2015,Chicago
29/11/2015,42851.47,422479.32,conventional,2015,Chicago
22/11/2015,34868.5,553545.31,conventional,2015,Chicago
15/11/2015,31286.11,441753.6,conventional,2015,Chicago
8/11/2015,44528.42,498562.41,conventional,2015,Chicago
1/11/2015,69420.04,562214.56,conventional,2015,Chicago
25/10/2015,59161.08,454352.6,conventional,2015,Chicago
18/10/2015,25883.13,482992.35,conventional,2015,Chicago
11/10/2015,16455.46,503813.92,conventional,2015,Chicago
4/10/2015,14268.84,485262.12,conventional,2015,Chicago
27/9/2015,16483.95,532028.74,conventional,2015,Chicago
20/9/2015,16477.56,534644.45,conventional,2015,Chicago
13/9/2015,17172.26,546965.49,conventional,2015,Chicago
6/9/2015,17595.54,581941.46,conventional,2015,Chicago
30/8/2015,17363.14,570147.23,conventional,2015,Chicago
23/8/2015,17595.95,550359.51,conventional,2015,Chicago
16/8/2015,19193.94,609692.45,conventional,2015,Chicago
9/8/2015,18237.36,526303.06,conventional,2015,Chicago
2/8/2015,21607.12,559825.17,conventional,2015,Chicago
26/7/2015,26653.29,577460.34,conventional,2015,Chicago
19/7/2015,20534.84,560871.56,conventional,2015,Chicago
12/7/2015,22933.92,545739.34,conventional,2015,Chicago
5/7/2015,28422.72,661207.19,conventional,2015,Chicago
28/6/2015,27391.54,524476.99,conventional,2015,Chicago
21/6/2015,34715.08,536926.08,conventional,2015,Chicago
14/6/2015,55227.59,586037.06,conventional,2015,Chicago
7/6/2015,51410.51,544663.98,conventional,2015,Chicago
31/5/2015,50563.81,518850.04,conventional,2015,Chicago
24/5/2015,57568.25,611797.34,conventional,2015,Chicago
17/5/2015,54087.8,569043.02,conventional,2015,Chicago
10/5/2015,55587.31,545784.15,conventional,2015,Chicago
3/5/2015,64798.64,690167.81,conventional,2015,Chicago
26/4/2015,46749.43,543002.3,conventional,2015,Chicago
19/4/2015,52850.1,594214.84,conventional,2015,Chicago
12/4/2015,45103.98,488323.33,conventional,2015,Chicago
5/4/2015,38641.17,530946.92,conventional,2015,Chicago
29/3/2015,25629.52,545317.99,conventional,2015,Chicago
22/3/2015,29308,596341.85,conventional,2015,Chicago
15/3/2015,30100.78,600833.1,conventional,2015,Chicago
8/3/2015,27489.32,523118,conventional,2015,Chicago
1/3/2015,24137.05,637043.16,conventional,2015,Chicago
22/2/2015,39072.26,533387.47,conventional,2015,Chicago
15/2/2015,29711.82,488591.6,conventional,2015,Chicago
8/2/2015,28216.83,499138.28,conventional,2015,Chicago
1/2/2015,50783.91,824745.44,conventional,2015,Chicago
25/1/2015,26117.56,488218.44,conventional,2015,Chicago
18/1/2015,24917.77,533717.99,conventional,2015,Chicago
11/1/2015,31239.94,558487.79,conventional,2015,Chicago
4/1/2015,30270.26,550752.19,conventional,2015,Chicago
27/12/2015,2633.37,100444.22,conventional,2015,CincinnatiDayton
20/12/2015,2732.05,108930.75,conventional,2015,CincinnatiDayton
